make,model,version,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,make_number,model_number,model_numberdos,make_model_ref,combustible_int,provincia_numero,cambio_int,prof_int,color_limpio,color_numero,km_0,km_0_int
FORD,Transit,FORD Transit 350 96kW L4 Ambiente Propulsion Trasera,22850,Diésel,2017.0,107000,130.0,2,Manual,Blanco,4,True,Sevilla,24,476,23,2423,0,39,0,1,Blanco,282,False,0
LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0L TD4 110kW 150CV 4x4 Pure 5p.,28500,Diésel,2017.0,36238,150.0,5,Automático,Blanco,47,True,Baleares,62,729,5,6205,0,6,1,1,Blanco,282,False,0
BMW,Serie 1,BMW Serie 1 116d 5p.,28900,Diésel,2020.0,5000,116.0,5,Automático,Gris / Plata (B39 Pintura metalizada Mineralgrau),4,True,Barcelona,50,515,3,5003,0,7,1,1,Gris / Plata,412,True,1
FORD,S-MAX,FORD SMAX 2.0 TDCi Panther 110kW Titanium Pow 5p.,29300,Diésel,2019.0,11936,150.0,5,Automático,Negro,30,True,Lugo,24,499,24,2424,0,28,1,1,Negro,526,False,0
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid SW GT Line 225 eEAT8 5p.,37000,Híbrido enchufable,2020.0,1200,225.0,5,Automático,Blanco (Blanco nacarado),22,True,Pontevedra,29,766,42,2942,5,36,1,1,Blanco,282,True,1
KIA,XCeed,KIA XCeed 1.6 GDi PHEV 104kW 141CV eMotion 5p.,32300,Híbrido enchufable,2021.0,2800,141.0,5,Manual,Cassa White (WD),6,True,Murcia,40,680,24,4024,5,31,0,1,Cassa White,340,True,1
PEUGEOT,Rifter,PEUGEOT Rifter GT Standard BlueHDi 96kW 5p.,26995,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata (GRIS ARTENSE),19,True,Zaragoza,29,605,37,2937,0,49,0,1,Gris / Plata,412,True,1
SEAT,León,SEAT Leon 2.0 TDI 110kW DSG7 SS FR Go L 5p.,26400,Diésel,2020.0,50,150.0,5,Automático,Negro,14,True,Toledo,27,467,12,2712,0,44,1,1,Negro,526,True,1
MERCEDES-BENZ,Clase E,MERCEDES-BENZ Clase E E 220 d 4p.,23900,Diésel,2016.0,150276,194.0,4,Automático,Negro,44,True,Vizcaya,56,661,27,5627,0,47,1,1,Negro,526,False,0
MERCEDES-BENZ,Clase V,MERCEDES-BENZ Clase V 220 d Clase V Largo 4p.,44097,Diésel,2019.0,24429,163.0,4,Automático,Negro (Obsidiana),27,True,Madrid,56,794,34,5634,0,29,1,1,Negro,526,False,0
MERCEDES-BENZ,GLC Coupé,MERCEDES-BENZ GLC Coupe GLC 220 d 4MATIC 5p.,49900,Diésel,2019.0,200,170.0,5,Automático,Gris / Plata (PLATA IRIDIO),31,True,Badajoz,56,822,40,5640,0,5,1,1,Gris / Plata,412,True,1
BMW,X3,BMW X3 XDRIVE20D 5p.,25400,Diésel,2017.0,36000,190.0,5,Manual,Gris / Plata,24,True,Lleida,50,662,11,5011,0,27,0,1,Gris / Plata,412,False,0
BMW,Serie 2,BMW Serie 2 M2 2p.,48200,Gasolina,2017.0,8000,370.0,2,Automático,Azul,6,False,Madrid,50,751,17,5017,1,29,1,0,Azul,234,True,1
MERCEDES-BENZ,CLA,MERCEDES-BENZ CLA CLA 200 D DCT 4p.,44600,Diésel,2021.0,0,150.0,4,Manual,Azul (Azul Demin),0,True,Sevilla,56,805,38,5638,0,39,0,1,Azul,234,True,1
BMW,Serie 5,BMW Serie 5 520d Efficient Dynamics 4p.,37200,Diésel,2019.0,35760,190.0,4,Automático,"A90 Sophistograu, efecto de brillo (metalizado)",4,True,Madrid,50,593,7,5007,0,29,1,1,"A90 Sophistograu, efecto de brillo",219,False,0
LAND-ROVER,Discovery Sport,LAND-ROVER Discovery Sport 2.0D I4L.Flw 150 PS AWD RDynamic S 5p.,60190,Diésel,2019.0,0,150.0,5,Automático,Blanco,10,True,Alicante,62,729,5,6205,0,2,1,1,Blanco,282,True,1
MERCEDES-BENZ,GLC Coupé,MERCEDES-BENZ GLC Coupe MercedesAMG GLC 43 4MATIC 5p.,89250,Gasolina,2021.0,1,390.0,5,Automático,Azul (brillante),29,True,Valencia,56,822,40,5640,1,45,1,1,Azul,234,True,1
RENAULT,Koleos,RENAULT Koleos Zen Blue dCi 110kW 150CV XTronic 4x2 5p.,31600,Diésel,2020.0,1,150.0,5,Automático,Blanco (VARIAS UNIDADES Y COLORES),12,True,Madrid,19,504,34,1934,0,29,1,1,Blanco,282,True,1
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A Sedan A 180 d 4p.,32000,Diésel,2020.0,20100,116.0,4,Automático,Negro (NEGRO COSMOS),13,True,Madrid,56,660,26,5626,0,29,1,1,Negro,526,False,0
AUDI,Q3,AUDI Q3 S line 35 TDI 110kW 150CV S tronic 5p.,32900,Diésel,2018.0,11700,150.0,5,Automático,Z7Z7 Gris Cronos (metalizada),19,True,Alicante,49,693,20,4920,0,2,1,1,Z7Z7 Gris Cronos,695,False,0
BMW,X1,BMW X1 sDrive18dA Business 5p.,22900,Diésel,2017.0,70000,150.0,5,Automático,Blanco,54,True,Ciudad Real,50,637,8,5008,0,12,1,1,Blanco,282,False,0
MERCEDES-BENZ,Clase CLA,MERCEDES-BENZ Clase CLA CLA 200 d Shooting Brake 5p.,30000,Diésel,2018.0,14000,136.0,5,Manual,Azul,11,False,Madrid,56,673,28,5628,0,29,0,0,Azul,234,False,0
PEUGEOT,508 Hybrid,PEUGEOT 508 Hybrid 5P GT Line 225 eEAT8 5p.,35375,Híbrido enchufable,2020.0,1,225.0,5,Automático,Gris / Plata,12,True,Toledo,29,766,42,2942,5,44,1,1,Gris / Plata,412,True,1
PEUGEOT,5008,PEUGEOT 5008 1.5 BlueHDi 96kW 130CV SS GT 5p.,33835,Diésel,2021.0,1,130.0,5,Manual,Gris / Plata,31,True,Valencia,29,585,36,2936,0,45,0,1,Gris / Plata,412,True,1
CITROEN,C4 Spacetourer,CITROEN C4 Spacetourer BlueHDi 88KW 120CV Shine 5p.,21900,Diésel,2018.0,13638,120.0,5,Manual,Rojo,21,True,Barcelona,20,571,36,2036,0,7,0,1,Rojo,612,False,0
BMW,Serie 5,BMW Serie 5 520D 4p.,28900,Diésel,2017.0,55962,190.0,4,Manual,"A90 Sophistograu, efecto de brillo (metalizado)",20,True,Ávila,50,593,7,5007,0,51,0,1,"A90 Sophistograu, efecto de brillo",219,False,0
AUDI,Q7,AUDI Q7 3.0 TDI quattro tiptronic 5p.,59900,Diésel,2018.0,40000,272.0,5,Automático,"(( NACIONAL, S-LINE, LLANTA 22"", FULL ))",54,True,Madrid,49,734,26,4926,0,29,1,1,),2,False,0
SSANGYONG,Korando,SSANGYONG Korando G15T Urban 5p.,22800,Gasolina,2020.0,20,163.0,5,Manual,Negro,16,True,León,28,546,10,2810,1,26,0,1,Negro,526,True,1
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6 CRDI 85kW 116CV SLE 4X2 5p.,25750,Diésel,2020.0,18,116.0,5,Manual,"Beige (PLATA, NEGRO, BLANCO, DORADO)",19,True,Alicante,35,607,26,3526,0,2,0,1,Beige,278,True,1
BMW,Serie 5,BMW Serie 5 535dA 4p.,23990,Diésel,2013.0,109990,313.0,4,Automático,Negro,41,True,Valencia,50,593,7,5007,0,45,1,1,Negro,526,False,0
PORSCHE,911,PORSCHE 911 Speedster 2p.,410000,Gasolina,2019.0,150,510.0,2,Manual,Gris / Plata,12,True,Girona,67,857,10,6710,1,17,0,1,Gris / Plata,412,True,1
BMW,X6,BMW X6 xDrive30d 5p.,55490,Diésel,2018.0,26391,258.0,5,Automático,Gris / Plata,40,True,Madrid,50,790,19,5019,0,29,1,1,Gris / Plata,412,False,0
CITROEN,C5 Aircross,CITROEN C5 Aircross BlueHdi 96kW 130CV SS C Series 5p.,26750,Diésel,2021.0,0,131.0,5,Manual,Gris / Plata,22,True,Albacete,20,692,38,2038,0,1,0,1,Gris / Plata,412,True,1
BMW,Serie 4,BMW Serie 4 420d Auto. 2p.,29100,Diésel,2017.0,52550,190.0,2,Automático,Negro,10,True,Guadalajara,50,731,14,5014,0,19,1,1,Negro,526,False,0
SUZUKI,Jimny,SUZUKI Jimny 1.5 MODE 3 5MT 3p.,25900,Gasolina,2020.0,8200,102.0,3,Manual,Blanco,5,False,Asturias,31,510,11,3111,1,4,0,0,Blanco,282,True,1
PORSCHE,911,PORSCHE 911 CARRERA 2p.,117999,Gasolina,2020.0,5999,385.0,2,Automático,Negro,17,True,Girona,67,857,10,6710,1,17,1,1,Negro,526,True,1
JEEP,Renegade,JEEP Renegade Limited 1.3 PHEV 140kW 190CV AT AWD 5p.,37500,Híbrido enchufable,2020.0,100,190.0,5,Automático,Azul,54,True,Huesca,53,619,4,5304,5,22,1,1,Azul,234,True,1
OPEL,Grandland X,OPEL Grandland X 1.2 Turbo Selective 5p.,21990,Gasolina,2020.0,10,130.0,5,Manual,Blanco,15,True,Vizcaya,23,651,32,2332,1,47,0,1,Blanco,282,True,1
PEUGEOT,508,PEUGEOT 508 5P Allure BlueHDi 96kW 130 SS EAT8 5p.,25990,Diésel,2019.0,22200,130.0,5,Automático,Gris / Plata,54,True,Valladolid,29,557,35,2935,0,46,1,1,Gris / Plata,412,False,0
PORSCHE,911,PORSCHE 911 TURBO COUPE 2p.,83000,Gasolina,2011.0,86000,500.0,2,Automático,Gris / Plata,45,True,Vizcaya,67,857,10,6710,1,47,1,1,Gris / Plata,412,False,0
PEUGEOT,Boxer,PEUGEOT Boxer 435 L4 BlueHDi 120KW 160CV,21950,Diésel,2017.0,99950,163.0,2,Manual,Azul,24,True,Sevilla,29,535,34,2934,0,39,0,1,Azul,234,False,0
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 d AMG Line Estate 5p.,26900,Diésel,2016.0,57000,170.0,5,Automático,Azul,27,True,Barcelona,56,645,24,5624,0,7,1,1,Azul,234,False,0
BMW,X5,BMW X5 xDRIVE30d 5p.,22500,Diésel,2011.0,112752,245.0,5,Automático,Blanco (*BAR*),34,True,Castellón,50,720,12,5012,0,10,1,1,Blanco,282,False,0
CITROEN,C5 Aircross Hybrid,CITROEN C5 Aircross Hybrid 225 eEAT8 Shine 5p.,42461,Híbrido enchufable,2020.0,1,225.0,5,Automático,Gris / Plata,4,True,Tarragona,20,767,41,2041,5,41,1,1,Gris / Plata,412,True,1
MERCEDES-BENZ,Clase GLC,MERCEDES-BENZ Clase GLC GLC 300 d 4MATIC 5p.,67500,Diésel,2020.0,14382,245.0,5,Automático,Negro,14,True,Valencia,56,795,35,5635,0,45,1,1,Negro,526,False,0
CITROEN,C5 Aircross,CITROEN C5 Aircross BlueHdi 96kW 130CV SS Feel 5p.,26100,Diésel,2019.0,0,131.0,5,Manual,Negro,10,True,Madrid,20,692,38,2038,0,29,0,1,Negro,526,True,1
AUDI,A4,AUDI A4 Avant 2.0 TDI 110kW150CV S tron design 5p.,25900,Diésel,2017.0,54000,150.0,5,Automático,Blanco,22,True,Castellón,49,525,9,4909,0,10,1,1,Blanco,282,False,0
AUDI,Q5,AUDI Q5 Design 35 TDI 120kW quattro S tronic 5p.,39900,Diésel,2019.0,20000,163.0,5,Automático,L5L5 Plata Florete (metalizado),20,True,Asturias,49,700,22,4922,0,4,1,1,L5L5 Plata Florete,471,False,0
AUDI,A1,AUDI A1 30 TFSI 85kW 116CV Sportback 5p.,22900,Gasolina,2019.0,21000,116.0,5,Manual,Negro,14,True,Barcelona,49,522,8,4908,1,7,0,1,Negro,526,False,0
MERCEDES-BENZ,Clase CLA,MERCEDES-BENZ Clase CLA CLA 220 d Shooting Brake 5p.,22950,Diésel,2017.0,103481,177.0,5,Automático,Blanco,17,True,Barcelona,56,673,28,5628,0,7,1,1,Blanco,282,False,0
NISSAN,QASHQAI,NISSAN QASHQAI DIGT 117 kW 160 CV E6D DCT NCONNECTA 5p.,28088,Gasolina,2020.0,10,160.0,5,Automático,Negro (Textil N-Connecta color negro),30,True,Madrid,37,548,35,3735,1,29,1,1,Negro,526,True,1
BMW,Serie 1,BMW Serie 1 116d 5p.,24500,Diésel,2019.0,13009,116.0,5,Manual,Negro (475 Pintura metalizada Saphirschwarz),13,True,Orense,50,515,3,5003,0,34,0,1,Negro,526,False,0
MITSUBISHI,Outlander,MITSUBISHI Outlander 2.4 PHEV Kaiteki Auto 4WD MY19.5 5p.,37400,Híbrido enchufable,2019.0,30000,224.0,5,Automático,Blanco,34,True,Madrid,32,587,16,3216,5,29,1,1,Blanco,282,False,0
VOLVO,V90,VOLVO V90 2.0 D4 Business Plus Auto 5p.,39895,Diésel,2020.0,7,190.0,5,Automático,"Negro (BLACK STONE, SOLID)",21,True,Madrid,51,770,21,5121,0,29,1,1,Negro,526,True,1
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 d AMG Line 4p.,26500,Diésel,2016.0,59395,170.0,4,Automático,Gris / Plata,15,True,Barcelona,56,645,24,5624,0,7,1,1,Gris / Plata,412,False,0
VOLVO,XC90,VOLVO XC90 2.0 T6 AWD Inscription Auto 5p.,71900,Gasolina,2019.0,0,310.0,5,Automático,Gris / Plata (Plata),5,True,Baleares,51,747,18,5118,1,6,1,1,Gris / Plata,412,True,1
MERCEDES-BENZ,Clase GLC,MERCEDES-BENZ Clase GLC GLC 300 de 4MATIC 5p.,57900,Híbrido enchufable,2021.0,10,306.0,5,Manual,Gris / Plata (Gris Selenita),30,True,Málaga,56,795,35,5635,5,32,0,1,Gris / Plata,412,True,1
CITROEN,C5 Aircross,CITROEN C5 Aircross PureTech 96kW 130CV SS Feel 5p.,23700,Gasolina,2020.0,5,131.0,5,Manual,Blanco,15,True,Albacete,20,692,38,2038,1,1,0,1,Blanco,282,True,1
BMW,X1,BMW X1 sDrive18d 5p.,26890,Diésel,2017.0,37675,150.0,5,Automático,A96 MineralweiÃ? (metalizado),4,True,Valencia,50,637,8,5008,0,45,1,1,A96 MineralweiÃ?,223,False,0
AUDI,A4,AUDI A4 2.0 TDI 110kW 150CV 4p.,22000,Diésel,2018.0,40000,150.0,4,Automático,Blanco,5,False,Barcelona,49,525,9,4909,0,7,1,0,Blanco,282,False,0
AUDI,A3,AUDI A3 Sportback S line 35 TDI 110kW 150CV 5p.,42900,Diésel,2020.0,50,150.0,5,Automático,Blanco,16,True,Málaga,49,542,10,4910,0,32,1,1,Blanco,282,True,1
AUDI,Q5,AUDI Q5 Design 2.0 TDI 140kW quattro S tronic 5p.,35200,Diésel,2017.0,96300,190.0,5,Automático,Blanco (T9T9 Blanco Ibis),15,True,Girona,49,700,22,4922,0,17,1,1,Blanco,282,False,0
PEUGEOT,3008,PEUGEOT 3008 1.2 PureTech 96KW 130CV SS Allure 5p.,24800,Gasolina,2020.0,1,130.0,5,Manual,Blanco,10,True,Asturias,29,613,38,2938,1,4,0,1,Blanco,282,True,1
BMW,i8,BMW i8 i8 Coupe 2p.,85490,Híbrido enchufable,2019.0,3000,374.0,2,Automático,Gris / Plata (E-Copper con detalles Frozen Grey metalizado),37,True,Alicante,50,852,21,5021,5,2,1,1,Gris / Plata,412,True,1
BMW,Serie 3,BMW Serie 3 M3 2p.,27500,Gasolina,2002.0,194948,343.0,2,Automático,Gris / Plata,26,True,Girona,50,508,2,5002,1,17,1,1,Gris / Plata,412,False,0
TOYOTA,Proace City Verso,TOYOTA Proace City 1.5D 75kW 100CV VX L1 5p.,23200,Diésel,2020.0,0,131.0,5,Manual,Gris / Plata (PLATA SIENA),23,True,Barcelona,33,686,27,3327,0,7,0,1,Gris / Plata,412,True,1
BMW,Serie 5,BMW Serie 5 530DA 4p.,29890,Diésel,2015.0,108923,258.0,4,Automático,Gris / Plata,54,True,Murcia,50,593,7,5007,0,31,1,1,Gris / Plata,412,False,0
BMW,Serie 4,BMW Serie 4 420d 2p.,23700,Diésel,2014.0,131248,184.0,2,Automático,"Azul (A89 Imperialblau,efecto brillo  metalizado)",39,True,Zaragoza,50,731,14,5014,0,49,1,1,Azul,234,False,0
PORSCHE,Macan,PORSCHE Macan S Diesel 5p.,54900,Diésel,2016.0,65000,258.0,5,Automático,"(( NACIONAL, LLANTA 21"", PANORÁMICO ))",54,True,Madrid,67,825,7,6707,0,29,1,1,),2,False,0
MINI,Countryman,MINI Countryman One 5p.,21900,Gasolina,2018.0,20000,102.0,5,Manual,Azul,9,True,Barcelona,41,631,4,4104,1,7,0,1,Azul,234,False,0
PORSCHE,Macan,PORSCHE Macan GTS 5p.,69900,Gasolina,2018.0,31131,360.0,5,Automático,Negro,1,True,Valencia,67,825,7,6707,1,45,1,1,Negro,526,False,0
RENAULT,Kadjar,RENAULT Kadjar Zen Blue dCi 85kW 115CV 5p.,23500,Diésel,2019.0,16394,115.0,5,Manual,Azul,12,True,Castellón,19,577,39,1939,0,10,0,1,Azul,234,False,0
MERCEDES-BENZ,Clase B,MERCEDES-BENZ Clase B B 180 d 5p.,26900,Diésel,2019.0,17930,116.0,5,Automático,Rojo (Rojo Júpiter),19,True,Valencia,56,599,22,5622,0,45,1,1,Rojo,612,False,0
PEUGEOT,Partner,PEUGEOT Partner Furgon Confort Electric L1,23500,Eléctrico,2020.0,10,67.0,3,Automático,Blanco,22,True,Orense,29,369,25,2925,6,34,1,1,Blanco,282,True,1
BMW,Serie 5,BMW Serie 5 525DA 4p.,49900,Diésel,2018.0,1000,231.0,4,Automático,"Azul (Imperialblau,efecto brillo  metalizado)",54,True,Alicante,50,593,7,5007,0,2,1,1,Azul,234,True,1
VOLVO,XC60,VOLVO XC60 2.0 D3 Momentum 5p.,33000,Diésel,2019.0,39350,150.0,5,Manual,Blanco (Blanco C614E),18,True,Ciudad Real,51,701,16,5116,0,12,0,1,Blanco,282,False,0
VOLKSWAGEN,Golf,VOLKSWAGEN Golf GTD 2.0 TDI 184cv DSG BMT 5p.,21990,Diésel,2014.0,117000,184.0,5,Automático,Negro,22,True,Pontevedra,38,471,17,3817,0,36,1,1,Negro,526,False,0
AUDI,A4,AUDI A4 Avant 2.0 TDI 140kW190CV S tron sport 5p.,23890,Diésel,2016.0,92709,190.0,5,Automático,Azul,54,True,Murcia,49,525,9,4909,0,31,1,1,Azul,234,False,0
NISSAN,QASHQAI,NISSAN QASHQAI dCi 85 kW 115 CV E6D DCT TEKNA 5p.,23600,Diésel,2019.0,22136,115.0,5,Automático,Z11 Negro (metalizado),32,True,Madrid,37,548,35,3735,0,29,1,1,Z11 Negro,689,False,0
VOLVO,S60,VOLVO S60 2.0 T5 RDesign Auto 4p.,35900,Gasolina,2019.0,18700,250.0,4,Automático,Azul (DENIM BLUE),14,True,Barcelona,51,561,14,5114,1,7,1,1,Azul,234,False,0
AUDI,A6 allroad quattro,AUDI A6 allroad quattro Advanced ed 3.0 TDI 160kW quattro S tron 5p.,37600,Diésel,2018.0,60428,218.0,5,Automático,Azul (AZUL POLAR),6,True,Cádiz,49,691,19,4919,0,15,1,1,Azul,234,False,0
FORD,Kuga,FORD Kuga STLine X 2.0 EcoBlue MHEV 110kW 150CV 5p.,30800,Diésel,2020.0,0,150.0,5,Manual,Gris / Plata (MAGNETICO),11,True,Madrid,24,572,27,2427,0,29,0,1,Gris / Plata,412,True,1
PORSCHE,Cayenne,PORSCHE Cayenne GTS 5p.,135900,Gasolina,2020.0,6800,460.0,5,Automático,Blanco,1,True,Barcelona,67,797,5,6705,1,7,1,1,Blanco,282,True,1
BMW,X4,BMW X4 xDrive20d 5p.,29980,Diésel,2015.0,89598,190.0,5,Manual,Azul,10,True,Pontevedra,50,764,18,5018,0,36,0,1,Azul,234,False,0
MERCEDES-BENZ,GLB,MERCEDES-BENZ GLB 1.3 GLB 200 DCT 120KW 163CV 5p.,39900,Gasolina,2020.0,70,163.0,5,Automático,Azul,27,True,Las Palmas,56,810,39,5639,1,25,1,1,Azul,234,True,1
PORSCHE,Panamera,PORSCHE Panamera 4.8 GTS 5p.,53900,Gasolina,2013.0,89000,440.0,5,Automático,Blanco,54,True,Madrid,67,836,8,6708,1,29,1,1,Blanco,282,False,0
MERCEDES-BENZ,Clase G,MERCEDES-BENZ Clase G MercedesAMG G 63 5p.,108300,Gasolina,2018.0,43000,571.0,5,Automático,Negro,12,True,Valencia,56,863,49,5649,1,45,1,1,Negro,526,False,0
AUDI,Q7,AUDI Q7 3.0 TDI 204cv quattro tiptronic Ambition 5p.,27999,Diésel,2014.0,148000,204.0,5,Automático,Negro,35,True,Madrid,49,734,26,4926,0,29,1,1,Negro,526,False,0
RENAULT,Trafic,RENAULT Trafic SpaceClass Energy dCi 107 kW 145 CV,25890,Diésel,2018.0,30000,145.0,5,Manual,Beige,34,True,Madrid,19,490,32,1932,0,29,0,1,Beige,278,False,0
BMW,X6,BMW X6 xDrive30d 5p.,38900,Diésel,2015.0,32567,245.0,5,Automático,475 Saphirschwarz (metalizado),38,True,Murcia,50,790,19,5019,0,31,1,1,475 Saphirschwarz,111,False,0
PORSCHE,Cayenne,PORSCHE Cayenne GTS PDE3 5p.,23500,Gasolina,2010.0,127990,405.0,5,Automático,Blanco,42,True,Madrid,67,797,5,6705,1,29,1,1,Blanco,282,False,0
RENAULT,Scénic,RENAULT Scenic Zen Blue dCi 110 kW 150CV 5p.,23900,Diésel,2019.0,5311,150.0,5,Manual,Azul,25,True,Barcelona,19,297,25,1925,0,7,0,1,Azul,234,True,1
MINI,Countryman,MINI Countryman Cooper 5p.,23900,Gasolina,2019.0,23179,136.0,5,Automático,Midnight Black (metalizada),22,True,Madrid,41,631,4,4104,1,29,1,1,Midnight Black,508,False,0
MERCEDES-BENZ,Clase CLA,MERCEDES-BENZ Clase CLA CLA 200 d Urban 4p.,21990,Diésel,2016.0,95000,136.0,4,Automático,Gris / Plata,17,True,Granada,56,673,28,5628,0,18,1,1,Gris / Plata,412,False,0
PORSCHE,Cayman,PORSCHE Cayman 2.7 3p.,24990,Gasolina,2006.0,94000,245.0,3,Automático,Negro,16,True,Madrid,67,809,6,6706,1,29,1,1,Negro,526,False,0
BMW,Serie 5,BMW Serie 5 535I 4p.,23990,Gasolina,2013.0,110951,306.0,4,Automático,Negro (NEGRO),24,True,Tarragona,50,593,7,5007,1,41,1,1,Negro,526,False,0
BMW,Serie 4,BMW Serie 4 420d 2p.,34900,Diésel,2016.0,14000,190.0,2,Automático,Granate,8,False,Madrid,50,731,14,5014,0,29,1,0,Granate,408,False,0
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 63 AMG Sport Coupe 2p.,67990,Gasolina,2016.0,2550,457.0,2,Automático,Blanco (PINTURA ESPECIAL EFECTO PERLADO),39,True,Toledo,56,645,24,5624,1,44,1,1,Blanco,282,True,1
BMW,Serie 4,BMW Serie 4 420d 2p.,28900,Diésel,2017.0,36000,190.0,2,Automático,Blanco,5,False,Málaga,50,731,14,5014,0,32,1,0,Blanco,282,False,0
DS,DS 7 Crossback,DS DS 7 Crossback BlueHDi 132kW 180CV Auto. PERF.LINE 5p.,37899,Diésel,2019.0,28,180.0,5,Automático,Negro,37,True,Álava,55,752,6,5506,0,50,1,1,Negro,526,True,1
SMART,fortwo,SMART fortwo 60kW81CV EQ coupe 3p.,26920,Eléctrico,2020.0,1,82.0,3,Automático,Negro,21,True,Madrid,22,385,3,2203,6,29,1,1,Negro,526,True,1
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A A 180 d 5p.,29900,Diésel,2020.0,5662,116.0,5,Automático,Negro (Noche),11,True,La Rioja,56,660,26,5626,0,24,1,1,Negro,526,True,1
VOLVO,XC90,VOLVO XC90 2.0 D5 AWD Kinetic Auto 5p.,29670,Diésel,2016.0,103594,235.0,5,Automático,Gris / Plata (gris claro),54,True,Burgos,51,747,18,5118,0,8,1,1,Gris / Plata,412,False,0
VOLKSWAGEN,Arteon,VOLKSWAGEN Arteon RLine 2.0 TDI 176kW 240CV DSG 5p.,40490,Diésel,2020.0,12275,240.0,5,Automático,2T2T Negro Profundo (efecto perla),20,True,Barcelona,38,758,34,3834,0,7,1,1,2T2T Negro Profundo,82,False,0
MERCEDES-BENZ,Clase V,MERCEDES-BENZ Clase V 220 d Clase V Largo 4p.,33700,Diésel,2018.0,47478,163.0,4,Automático,Gris / Plata,9,False,Lleida,56,794,34,5634,0,27,1,0,Gris / Plata,412,False,0
KIA,ProCeed,KIA ProCeed 1.4 TGDi 103kW 140CV GT Line 5p.,26890,Gasolina,2020.0,20,140.0,5,Manual,Blanco,12,True,La Rioja,40,687,25,4025,1,24,0,1,Blanco,282,True,1
LAND-ROVER,Range Rover Evoque,LAND-ROVER Range Rover Evoque 2.0L TD4 Diesel 132kW 4x4 HSE Dynamic 5p.,28950,Diésel,2017.0,46596,180.0,5,Manual,Azul,26,True,Barcelona,62,722,3,6203,0,7,0,1,Azul,234,False,0
CADILLAC,Escalade,CADILLAC Escalade 6.2 V8 Sport Luxury 5p.,21800,Gasolina,2007.0,114000,409.0,5,Automático,Blanco,22,True,Madrid,25,666,5,2505,1,29,1,1,Blanco,282,False,0
PORSCHE,Cayenne,PORSCHE Cayenne Diesel 5p.,54999,Diésel,2016.0,93000,262.0,5,Automático,Negro (Jet Black),37,True,Valencia,67,797,5,6705,0,45,1,1,Negro,526,False,0
NISSAN,NV300,NISSAN NV300 2.0dCi 88kW 120CV L1H1 1T Comfort,24800,Diésel,2020.0,6900,120.0,4,Manual,Blanco,10,True,Teruel,37,608,39,3739,0,43,0,1,Blanco,282,True,1
BMW,Z4,BMW Z4 sDrive35i 2p.,23900,Gasolina,2010.0,84600,306.0,2,Manual,Gris / Plata,8,False,Toledo,50,655,9,5009,1,44,0,0,Gris / Plata,412,False,0
FORD,Explorer,FORD Explorer 3.0 PHEV AWD ST Line 4p.,65900,Híbrido enchufable,2020.0,1,450.0,4,Automático,Negro,10,True,Madrid,24,760,34,2434,5,29,1,1,Negro,526,True,1
BMW,Serie 1,BMW Serie 1 118d 5p.,21900,Diésel,2018.0,21009,150.0,5,Manual,Blanco,10,True,Murcia,50,515,3,5003,0,31,0,1,Blanco,282,False,0
MERCEDES-BENZ,Clase GLC,MERCEDES-BENZ Clase GLC GLC 250 4MATIC 5p.,43999,Gasolina,2019.0,48500,211.0,5,Automático,Gris / Plata (BRONCE),54,True,Alicante,56,795,35,5635,1,2,1,1,Gris / Plata,412,False,0
FORD,Grand Tourneo Connect,FORD Grand Tourneo Connect 1.5 TDCi 88kW 120CV Titanium 5p.,23800,Diésel,2020.0,3800,120.0,5,Manual,Gris / Plata,22,True,Tarragona,24,632,29,2429,0,41,0,1,Gris / Plata,412,True,1
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C Coupe C 200 2p.,39990,Híbrido,2019.0,11560,184.0,2,Automático,Blanco,33,True,Valencia,56,645,24,5624,4,45,1,1,Blanco,282,False,0
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A A 180 d 5p.,28900,Diésel,2020.0,8063,116.0,5,Automático,Gris / Plata (Plata iridio),20,True,Toledo,56,660,26,5626,0,44,1,1,Gris / Plata,412,True,1
AUDI,A4,AUDI A4 Avant 2.0 TDI 190CV quat S tron Advanced 5p.,21990,Diésel,2016.0,108000,190.0,5,Automático,Blanco,35,True,Cantabria,49,525,9,4909,0,9,1,1,Blanco,282,False,0
JAGUAR,XE,JAGUAR XE 3.0 AJ126 Supercharged 250kW Auto. S 4p.,39900,Gasolina,2017.0,47200,340.0,4,Automático,Negro,27,True,Vizcaya,57,690,6,5706,1,47,1,1,Negro,526,False,0
INFINITI,Q60,INFINITI Q60 2.0 Sport 2p.,35900,Gasolina,2018.0,20500,211.0,2,Automático,Pure White (Metallic),48,True,Madrid,46,756,10,4610,1,29,1,1,Pure White,594,False,0
